subject,relation,object
五华区,位于,昆明
官渡区,位于,昆明
西山区,位于,昆明
呈贡区,位于,昆明
盘龙区,位于,昆明
东川区,位于,昆明
晋宁区,位于,昆明
凤庆凤山公园,位于,临沧
翁丁原始部落,位于,临沧
晋宁盘龙寺,位于,昆明
青华海,位于,保山
昆明寻甸红军长征柯渡纪念馆,位于,昆明
孟定班幸独树成林风景区,位于,耿马县
茶博园,位于,保山
耿马南汀画院,位于,临沧
畹町边关文化园,位于,德宏
斗南花市,位于,昆明
鱼塘寨彝族剪纸传习所,位于,红河
云南驿景区,位于,大理
红河马帮古城,位于,红河
茈碧湖,位于,大理
汪柴主微笑博物馆,位于,昆明
迪庆奔子栏子锅庄传习馆,位于,迪庆
瑞丽一寨两国,位于,德宏
云峰山,位于,保山
大理古城景区,位于,大理
楚雄市吕合文化博物馆,位于,楚雄
英雄老山圣地,位于,文山
大姚白塔公园,位于,楚雄
泸沽湖,位于,丽江
石屏县博物馆,位于,红河
立景阁,位于,临沧
旗山,位于,临沧
开远彝族传统花灯传习所,位于,红河
民族博物馆,位于,文山
热海景区,位于,保山
野生动物园,位于,昆明
云县滇缅铁路遗址园,位于,临沧
石月亮景区,位于,怒江
石门关,位于,大理
滇缅铁路遗址园,位于,临沧
西畴国家石漠公园,位于,文山
白塔,位于,临沧
张家花园,位于,大理
怒江州博物馆,位于,贡山县
穆夏新艺术运动先锋,位于,昆明
元江世界第一高桥,位于,玉溪
滇红第一村,位于,临沧
藏经堂,位于,迪庆
建水县博物馆,位于,红河
弥勒可邑小镇,位于,红河
傈僳族瓦器器传习中心,位于,迪庆
南几洛景区,位于,迪庆
白水台景区,位于,香格里拉
丫沙底瀑布温泉,位于,红河
天生桥景区,位于,迪庆
湖泉半山温泉,位于,红河
整董小镇,位于,普洱
思小高速公路景区,位于,西双版纳
个旧市博物馆,位于,红河
盘龙寺,位于,昆明
十里樱花,位于,保山
妈妈制造扎染体验,位于,大理
南美拉祜族文化传习馆,位于,临沧
银都水乡新华村,位于,大理
高黎贡山植物园,位于,保山
墨香古城,位于,红河
红河县博物馆,位于,红河
汤谷,位于,西畴县
巍山古城,位于,大理
汤谷旅游区,位于,文山
悦莲庄园,位于,玉溪
国殇墓园,位于,保山
映月潭温泉,位于,玉溪
公园1903梦幻联邦乐园,位于,昆明
北岳庙,位于,丽江
沧源葫芦小镇,位于,临沧
云南陆军讲武堂历史博物馆,位于,昆明
晋宁郑和公园,位于,昆明
龙润大龙潭,位于,昆明
朵拉萌宠乐园,位于,昆明
仙佛洞,位于,德宏
崇圣寺三塔,位于,大理
泸江公园,位于,红河
尼汝藏族传统文化生态保护传习馆,位于,迪庆
月亮湾湿地公园,位于,澄江县
抚仙湖禄充景区,位于,玉溪
昆明旅游索道,位于,昆明
玉溪市红塔区聂耳故居纪念馆,位于,红塔
建水古城小火车,位于,红河
磨皮彝族花鼓文化传习馆,位于,玉溪
云南师范大学西南联大博物馆,位于,五华
弥勒市城市规划展览馆,位于,弥勒
邵女坪旅游度假小镇,位于,昭通
黄草岭,位于,普洱
腾冲原乡栖花岭,位于,保山
彝王故里滇中名镇,位于,昆明
芒玉大峡谷,位于,普洱
和顺柏联温泉,位于,保山
异龙湖景区,位于,红河
广南县坝美世外桃源旅游景区,位于,文山
高山乌龙茶景区,位于,保山
云南大学校史馆,位于,五华
富源多乐原,位于,曲靖
玉龙雪山滑翔伞飞行营地,位于,玉龙县
原始森林公园,位于,西双版纳
昆脱,位于,昆明
山海洞,位于,昭通
昆明融创滇池后海,位于,昆明
会泽雨碌大地缝,位于,曲靖
云南人家,位于,昆明
袋鼠王蹦床公园,位于,昆明
易门龙泉公园,位于,玉溪
十里荷花,位于,保山
束河古镇,位于,丽江
秘境谷森林小镇,位于,临沧
景迈山茶林文化景区,位于,普洱
建水紫陶小镇,位于,红河
艾思奇故居,位于,腾冲
袁嘉古旧居陈列馆,位于,五华
同盟会河口起义纪念馆,位于,河口县
大理白族自治州博物馆,位于,大理
普洱西盟勐梭龙潭,位于,普洱
乃古石林,位于,昆明
蒙自市碧色寨,位于,红河
红河白龙洞风景区,位于,红河
东山景区,位于,曲靖
亿壕城堡温泉酒店,位于,昆明
独克宗古城,位于,迪庆
东巴万神园,位于,丽江
不可思议发泄屋,位于,昆明
松林藏香非遗传承馆,位于,迪庆
小哨野生菌生态村,位于,昆明
罗平鲁布革三峡,位于,曲靖
孟连宣抚司署,位于,普洱
望天树景区,位于,西双版纳
香格里拉大峡谷,位于,迪庆
那柯里茶马驿站,位于,普洱
边寨喊沙风景区,位于,德宏
宁蒗彝族自治县博物馆,位于,丽江
石林冰雪海洋世界,位于,昆明
茶马古镇,位于,临沧
新化古州野林,位于,玉溪
怒江州志伟民俗博物馆,位于,怒江
松山景区,位于,保山
七彩梦乡麦地冲,位于,昆明
大理上关花景区,位于,大理
昆明市杏林大观园,位于,昆明
独克宗花巷,位于,迪庆
怒江山水之道,位于,怒江傈僳族自治
红河蒙自南湖公园,位于,红河
牡露侬人谷,位于,文山
东竹林寺,位于,迪庆
青龙峡景区,位于,昆明
野象谷,位于,西双版纳
红河谷绿汁江恐龙峡谷漂流体验,位于,玉溪
凤庆锦绣茶尊胜地,位于,临沧
腾冲来凤山森林公园,位于,保山
香巴拉时轮坛城,位于,迪庆
山谷立体花园,位于,昆明
昆明老街规划展览馆,位于,五华
滇池博物馆,位于,西山
云南省博物馆,位于,昆明
香格里拉结达木景区,位于,迪庆
马龙月望湖旅游景区,位于,曲靖
弥勒市博物馆,位于,弥勒
融创乐园,位于,西双版纳
滇南本草植物博物馆,位于,官渡
大理景区直通车,位于,大理
紫溪彝村,位于,楚雄
潞江坝服务区,位于,保山
世博温泉乐园,位于,盘龙
官渡区博物馆,位于,官渡
勐巴拉雨林小镇,位于,西双版纳
弥渡县博物馆,位于,大理
个旧市玻璃栈道,位于,红河
玉龙湖景区,位于,临沧
湾子古苗寨,位于,昭通
坡芽情歌旅游特色村,位于,文山
观音峡,位于,丽江
浪巴铺土林,位于,楚雄
特步企鹅跑,位于,昆明
昆明自然乐游乐园,位于,西山
佤文化风情走廊,位于,临沧
洞景佛寺景区,位于,临沧
千里走单骑杨丽萍艺术空间,位于,大理
永德博物馆,位于,临沧
德宏州博物馆,位于,德宏
九乡风景名胜区,位于,昆明
广南县民族博物馆,位于,文山
大理璞真白族扎染博物馆,位于,大理
云南零海拔潜水抚仙湖明星景鱼洞区潜水店,位于,澄江
安宁温泉,位于,昆明
云南映象,位于,昆明
玉溪聂耳文化广场,位于,玉溪
燕子洞,位于,红河
娜姆措生态园,位于,迪庆
剑川民族博物馆,位于,剑川县
芒市孔雀谷景区,位于,德宏
大理英雄联盟校园电竞文创村,位于,大理
腾冲启迪冰上运动中心,位于,保山
腾冲翡翠博物馆,位于,腾冲
元谋人世界公园,位于,楚雄
五老山,位于,临翔
姚安光禄古镇,位于,楚雄
绿春县博物馆,位于,红河
未来游乐园,位于,昆明
树明玉雕翡翠文化传习馆,位于,保山
撒玛坝,位于,红河
云南民俗博物馆,位于,昆明
木依吉神谷景区,位于,普洱
智博会,位于,昆明
景东文庙,位于,普洱
临沧城市规划馆,位于,临沧
河畔公园,位于,临沧
大理古城游客中心直通车,位于,大理
红河个旧锡文化创意园,位于,红河
松赞林卡,位于,香格里拉
傈僳族阿尺木刮展示馆,位于,迪庆
叠水河瀑布,位于,保山
新平县城,位于,玉溪
滇池国际会展中心,位于,昆明
中澳生态园,位于,文山
杏林大观园,位于,昆明
石榴公园,位于,蒙自
云南电信博物馆,位于,昆明
基诺山寨,位于,西双版纳
罗平国际高原花海旅游度假区,位于,曲靖
凯邦亚湖,位于,德宏
昆明官渡海东湿地,位于,官渡
腾越广场,位于,保山
